ASV_original,ASV_updated,ASV_genus,ASV_species,ASV_culture,ASV_seqrun,Culture_collection,ASV_ID,SSU_kingdom,SSU_phylum,SSU_class,SSU_order,SSU_family,SSU_genus,SSU_species,SSU_Consensus,ITS_kingdom,ITS_phylum,ITS_class,ITS_order,ITS_family,ITS_genus,ITS_species,ITS_Consensus,fg_confidence,ft_primary_lifestyle,ft_secondary_lifestyle,LSU_phylum,LSU_family,LSU_genus,SSU_primer_success,ITS_primer_success,LSU_primer_align_success,method_LSU
Gigaspora_rosea_P1-bc1066-506-s155_STFP_ASV2644,Gigaspora_rosea_P1-bc1066-506-s155_STFP_ASV2644_CCAMF,Gigaspora,rosea,P1-bc1066-506-s155,STFP,CCAMF,ASV2644,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,VTX00039,1,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,margarita,0.7,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Gigasporaceae,Gigaspora,yes,yes,yes,primer
Gigaspora_rosea_P1-bc1066-506-s280_STFP_ASV2639,Gigaspora_rosea_P1-bc1066-506-s280_STFP_ASV2639_CCAMF,Gigaspora,rosea,P1-bc1066-506-s280,STFP,CCAMF,ASV2639,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,VTX00039,1,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,NA,0.9,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Gigasporaceae,Gigaspora,yes,yes,yes,primer
Gigaspora_rosea_P1-bc1066-506-s66_STFP_ASV2645,Gigaspora_rosea_P1-bc1066-506-s66_STFP_ASV2645_CCAMF,Gigaspora,rosea,P1-bc1066-506-s66,STFP,CCAMF,ASV2645,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,VTX00039,1,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,margarita,0.7,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Gigasporaceae,Gigaspora,yes,yes,yes,primer
Cetraspora_gilmorei_P1-bc1067-501-s117_STFP_ASV2033,Cetraspora_gilmorei_P1-bc1067-501-s117_STFP_ASV2033_CCAMF,Cetraspora,gilmorei,P1-bc1067-501-s117,STFP,CCAMF,ASV2033,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00041,0.8,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Racocetraceae,Cetraspora,NA,0.9,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Gigasporaceae,Cetraspora,yes,yes,yes,primer
Cetraspora_gilmorei_P1-bc1067-501-s91_STFP_ASV2066,Cetraspora_gilmorei_P1-bc1067-501-s91_STFP_ASV2066_CCAMF,Cetraspora,gilmorei,P1-bc1067-501-s91,STFP,CCAMF,ASV2066,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00041,0.8,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Racocetraceae,Cetraspora,NA,1,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Gigasporaceae,Cetraspora,yes,yes,yes,primer
Funneliformis_caledonium_P1-bc1068-498-s107_STFP_ASV2166,Funneliformis_caledonium_P1-bc1068-498-s107_STFP_ASV2166_CCAMF,Funneliformis,caledonium,P1-bc1068-498-s107,STFP,CCAMF,ASV2166,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00065,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,caledonium,0.6,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_caledonium_P1-bc1068-498-s138_STFP_ASV2164,Funneliformis_caledonium_P1-bc1068-498-s138_STFP_ASV2164_CCAMF,Funneliformis,caledonium,P1-bc1068-498-s138,STFP,CCAMF,ASV2164,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00065,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,caledonium,0.6,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_caledonium_P1-bc1068-498-s68_STFP_ASV2165,Funneliformis_caledonium_P1-bc1068-498-s68_STFP_ASV2165_CCAMF,Funneliformis,caledonium,P1-bc1068-498-s68,STFP,CCAMF,ASV2165,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00065,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,caledonium,0.6,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_caledonium_P1-bc1068-498-s70_STFP_ASV2167,Funneliformis_caledonium_P1-bc1068-498-s70_STFP_ASV2167_CCAMF,Funneliformis,caledonium,P1-bc1068-498-s70,STFP,CCAMF,ASV2167,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00065,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,caledonium,0.6,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Diversispora_celata_P1-bc1069-487-s162_STFP_ASV2536,Diversispora_celata_P1-bc1069-487-s162_STFP_ASV2536_CCAMF,Diversispora,celata,P1-bc1069-487-s162,STFP,CCAMF,ASV2536,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,VTX00060,1,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,0.8,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Diversisporaceae,Diversispora,yes,yes,yes,primer
Diversispora_celata_P1-bc1069-487-s169_STFP_ASV2537,Diversispora_celata_P1-bc1069-487-s169_STFP_ASV2537_CCAMF,Diversispora,celata,P1-bc1069-487-s169,STFP,CCAMF,ASV2537,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,VTX00060,1,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,0.8,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Diversisporaceae,Diversispora,yes,yes,yes,primer
Diversispora_celata_P1-bc1069-487-s177_STFP_ASV2535,Diversispora_celata_P1-bc1069-487-s177_STFP_ASV2535_CCAMF,Diversispora,celata,P1-bc1069-487-s177,STFP,CCAMF,ASV2535,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,VTX00060,1,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,0.8,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Diversisporaceae,Diversispora,yes,yes,yes,primer
Diversispora_celata_P1-bc1069-487-s218_STFP_ASV2534,Diversispora_celata_P1-bc1069-487-s218_STFP_ASV2534_CCAMF,Diversispora,celata,P1-bc1069-487-s218,STFP,CCAMF,ASV2534,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,VTX00060,1,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,0.8,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Diversisporaceae,Diversispora,yes,yes,yes,primer
Diversispora_celata_P1-bc1069-487-s224_STFP_ASV2533,Diversispora_celata_P1-bc1069-487-s224_STFP_ASV2533_CCAMF,Diversispora,celata,P1-bc1069-487-s224,STFP,CCAMF,ASV2533,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,VTX00060,1,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,0.8,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Diversisporaceae,Diversispora,yes,yes,yes,primer
Funneliformis_mosseae_P1-bc1070-483-s121_STFP_ASV2204,Funneliformis_mosseae_P1-bc1070-483-s121_STFP_ASV2204_CCAMF,Funneliformis,mosseae,P1-bc1070-483-s121,STFP,CCAMF,ASV2204,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.7,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_P1-bc1070-483-s156_STFP_ASV2206,Funneliformis_mosseae_P1-bc1070-483-s156_STFP_ASV2206_CCAMF,Funneliformis,mosseae,P1-bc1070-483-s156,STFP,CCAMF,ASV2206,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.8,Highly|_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
