ASV_updated,SSU_FAMILY_x_LSU_family,SSU_genus_x_LSU_genus,ITS_family_x_LSU_family,ITS_genus_x_LSU_genus,ITS_species_x_LSU_species
Glomus_rugosae_P3-bc1064-146-s119_STFP_ASV2041_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1064-146-s133_STFP_ASV2382_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1064-146-s192_STFP_ASV2083_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1064-146-s253_STFP_ASV2044_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1064-146-s35_STFP_ASV2383_CCAMF,Correct,Correct,Correct,Correct,Wrong
Glomus_rugosae_P3-bc1064-146-s38_STFP_ASV2376_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1064-146-s39_STFP_ASV2378_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1064-146-s41_STFP_ASV2389_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1064-146-s57_STFP_ASV2388_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1065-1419-s1474_STFP_ASV2067_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1065-1419-s194_STFP_ASV2046_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1065-1419-s3331_STFP_ASV2395_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1065-1419-s3513_STFP_ASV2038_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1066-1128-s191_STFP_ASV2017_CCAMF,Correct,Correct,Correct,Correct,Wrong
Glomus_rugosae_P3-bc1066-1128-s47_STFP_ASV2071_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1066-1128-s77_STFP_ASV2099_CCAMF,Correct,Correct,Correct,Correct,NA
Paraglomus_sp._P3-bc1067-1569-s202_STFP_ASV2671_CCAMF,Correct,Correct,Correct,Correct,LSU_NA
Paraglomus_sp._P3-bc1067-1569-s221_STFP_ASV2668_CCAMF,Correct,Correct,Correct,Correct,LSU_NA
Paraglomus_sp._P3-bc1067-1569-s276_STFP_ASV2666_CCAMF,Correct,Correct,Correct,Correct,LSU_NA
Paraglomus_sp._P3-bc1067-1569-s286_STFP_ASV2670_CCAMF,Correct,Correct,Correct,Correct,LSU_NA
Paraglomus_sp._P3-bc1067-1569-s290_STFP_ASV2667_CCAMF,Correct,Correct,Correct,Correct,LSU_NA
Paraglomus_sp._P3-bc1067-1569-s490_STFP_ASV2037_CCAMF,Correct,Correct,Correct,Correct,LSU_NA
Paraglomus_sp._P3-bc1067-1569-s554_STFP_ASV2664_CCAMF,Correct,Correct,Correct,Correct,LSU_NA
Paraglomus_sp._P3-bc1067-1569-s7043_STFP_ASV2023_CCAMF,Correct,Correct,Correct,Correct,LSU_NA
Paraglomus_sp._P3-bc1067-1569-s870_STFP_ASV2669_CCAMF,Correct,Correct,Correct,Correct,LSU_NA
Glomus_rugosae_P3-bc1068-1438-s232_STFP_ASV2046_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1068-1438-s2648_STFP_ASV2067_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P3-bc1068-1438-s3346_STFP_ASV2394_CCAMF,Correct,Correct,Correct,Correct,NA
