original_id	new_id	unique_ID	culture_original	culture_notes	culture	genus_original	species_original	source_code	genus	species	source_original	source	platform	sequencing_effort	successfull	read_count	notes	Isolate present in Nanopore and Pacbio?	Corresponding code on Nanopore tables
Ac_laevis_BEG13_5_cut	ZUII_Acaulospora_0_laevis	z133	BEG13_5		BEG13	Ac.	laevis	ZUII	Acaulospora	laevis	BEG (Dijon) DNA extracted from 5 spores	BEG	Pacbio_RSII	zuzana_Lib-5563	Low	3		N	
Di_spurca_W6227_10_cut	ZUII_Diversispora_0_spurca	z134	W6227_10		W6227	Di.	spurca	ZUII	Diversispora	spurca	Claudia Kruger collection in Průhonice - DNA extracted from 10 spores	KRUGER	Pacbio_RSII	zuzana_Lib-5563	Low	1		N	
Pa_occultum_CU126_1B_cut	ZUII_Paraglomus_0_occultum	z135	CU126_1B		CU126	Pa.	occultum	ZUII	Paraglomus	occultum	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_RSII	zuzana_Lib-5563	Low	2		N	
De_heterogama_BEG35_10_cut	ZUII_Dentiscutata_0_heterogama	z136	BEG35_10		BEG35	De.	heterogama	ZUII	Dentiscutata	heterogama	BEG (Dijon) DNA extracted from 10 spores	BEG	Pacbio_RSII	zuzana_Lib-5563	Low	2		N	
Cl_etunicatum_BEG247_1A_cut	ZUII_Entrophospora_0_etunicatum	z137	BEG247_1A		BEG247	Cl.	etunicatum	ZUII	Entrophospora	etunicata	BEG (Dijon) DNA extracted from 1 spore	BEG	Pacbio_RSII	zuzana_Lib-5563	Low	17		N	
Cl_etunicatum_BEG247_5B_cut	ZUII_Entrophospora_0_etunicatum	z138	BEG247_5B		BEG247	Cl.	etunicatum	ZUII	Entrophospora	etunicata	BEG (Dijon) DNA extracted from 5 spores	BEG	Pacbio_RSII	zuzana_Lib-5563	Low	17		N	
Cl_luteum_SA101_10A_cut	ZUII_Entrophospora_0_luteum	z139	SA101_10A		SA101	Cl.	luteum	ZUII	Entrophospora	lutea	INVAM - DNA extracted from 10 spores	INVAM	Pacbio_RSII	zuzana_Lib-5563	Low	22		N	
F_mosseae_BEG161_1A_cut	ZU_Funneliformis_0_mosseae	z14	BEG161_1A		BEG161	F.	mosseae	ZU	Funneliformis	mosseae	BEG (cultured in IBOT Pruhonice) - DNA extracted from 1 spore	BEG	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	414		N	
Rh_irregularis_PH5_1C_cut	ZUII_Rhizophagus_0_irregularis	z140	PH5_1C		PH5	Rh.	irregularis	ZUII	Rhizophagus	irregularis	IBOT collection (Pruhonice) - DNA extracted from 1 spore	IBOT	Pacbio_RSII	zuzana_Lib-5563	Low	11		N	
De_heterogama_BEG35_5_cut	ZUII_Dentiscutata_0_heterogama	z141	BEG35_5		BEG35	De.	heterogama	ZUII	Dentiscutata	heterogama	BEG (Dijon) DNA extracted from 5 spores	BEG	Pacbio_RSII	zuzana_Lib-5563	Low	2		N	
Pa_brasilianum_BEG239_5A_cut	ZUII_Paraglomus_0_brasilianum	z142	BEG239_5A		BEG239	Pa.	brasilianum	ZUII	Paraglomus	brasilianum	BEG (Dijon) DNA extracted from 5 spores	BEG	Pacbio_RSII	zuzana_Lib-5563	Low	17		N	
Am_fennica_fromAtt555_36_10g_cut	ZUII_Ambispora_0_fennica	z143	fromAtt555_36_10g		Att555_36	Am.	fennica	ZUII	Ambispora	fennica	Claudia Kruger collection in Průhonice - DNA extracted from 10 spores	KRUGER	Pacbio_RSII	zuzana_Lib-5563	Low	2		N	
Di_spurca_W6227_5C4_cut	ZUII_Diversispora_0_spurca	z144	W6227_5C4		W6227	Di.	spurca	ZUII	Diversispora	spurca	Claudia Kruger collection in Průhonice - DNA extracted from 5 spores	KRUGER	Pacbio_RSII	zuzana_Lib-5563	Low	8		N	
Am_gerdemannii_MT106_5B_cut	ZUII_Ambispora_0_gerdemannii	z145	MT106_5B		MT106	Am.	gerdemannii	ZUII	Ambispora	gerdemannii	INVAM - DNA extracted from 5 spores	INVAM	Pacbio_RSII	zuzana_Lib-5563	Low	1		Y	MT106
Ac_laevis_BEG13_1E_cut	ZUII_Acaulospora_0_laevis	z146	BEG13_1E		BEG13	Ac.	laevis	ZUII	Acaulospora	laevis	BEG (Dijon) DNA extracted from 1 spore	BEG	Pacbio_RSII	zuzana_Lib-5563	Low	1		N	
Gi_rosea_BEG9_5C1_cut	ZUII_Gigaspora_0_rosea	z147	BEG9_5C1		BEG9	Gi.	rosea	ZUII	Gigaspora	rosea	BEG (cultured in IBOT Pruhonice) - DNA extracted from 5 spores	BEG	Pacbio_RSII	zuzana_Lib-5563	Low	2		N	
Cl_claroideum_BEG23fromKrc_5B_cut	ZUII_Entrophospora_0_claroideum	z148	BEG23fromKrc_5B		BEG23	Cl.	claroideum	ZUII	Entrophospora	claroidea	BEG (cultured in IBOT Pruhonice) - DNA extracted from 5 spores	BEG	Pacbio_RSII	zuzana_Lib-5563	Low	6		N	
Gi_rosea_BEG9_10_cut	ZUII_Gigaspora_0_rosea	z149	BEG9_10		BEG9	Gi.	rosea	ZUII	Gigaspora	rosea	BEG (cultured in IBOT Pruhonice) - DNA extracted from 10 spores	BEG	Pacbio_RSII	zuzana_Lib-5563	Low	1		N	
D_heterogama_BEG35_1N_cut	ZU_Dentiscutata_0_heterogama	z15	BEG35_1N		BEG35	D.	heterogama	ZU	Dentiscutata	heterogama	BEG (Dijon) DNA extracted from 1 spore	BEG	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	225		N	
Am_gerdemannii_MT106_1C_cut	ZUII_Ambispora_0_gerdemannii	z150	MT106_1C		MT106	Am.	gerdemannii	ZUII	Ambispora	gerdemannii	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_RSII	zuzana_Lib-5563	Low	2		Y	MT106
C_corymbiforme_Blask5_1C_cut	ZU_Corymbiglomus_0_corymbiforme	z16	Blask5_1C		Blaszk5	C.	corymbiforme	ZU	Corymbiglomus	corymbiforme	Janusz Blaszkowski collection - DNA extracted from 1 spore	BLASZ	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	343		N	
C_corymbiforme_Blask5_1B_cut	ZU_Corymbiglomus_0_corymbiforme	z17	Blask5_1B		Blaszk5	C.	corymbiforme	ZU	Corymbiglomus	corymbiforme	Janusz Blaszkowski collection - DNA extracted from 1 spore	BLASZ	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	130		N	
C_corymbiforme_Blask5_1A_cut	ZU_Corymbiglomus_0_corymbiforme	z18	Blask5_1A		Blaszk5	C.	corymbiforme	ZU	Corymbiglomus	corymbiforme	Janusz Blaszkowski collection - DNA extracted from 1 spore	BLASZ	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	875		N	
F_mosseae_BEG95_5A_cut	ZU_Funneliformis_0_mosseae	z19	BEG95_5A		BEG95	F.	mosseae	ZU	Funneliformis	mosseae	BEG (cultured in IBOT Pruhonice) - DNA extracted from 5 spores	BEG	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	168		N	
R_irregularis_PH5_1A_cut	ZU_Rhizophagus_0_irregularis	z2	PH5_1A		PH5	R.	irregularis	ZU	Rhizophagus	irregularis	IBOT collection (Pruhonice) - DNA extracted from 1 spore	IBOT	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	1479		N	
F_mosseae_BEG161_10A_cut	ZU_Funneliformis_0_mosseae	z20	BEG161_10A		BEG161	F.	mosseae	ZU	Funneliformis	mosseae	BEG (cultured in IBOT Pruhonice) - DNA extracted from 10 spores	BEG	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	181		N	
A_koskei_SC705_5P_cut	ZU_Acaulospora_0_koskei	z21	SC705_5P		SC705	A.	koskei	ZU	Acaulospora	koskei	INVAM - DNA extracted from 5 spores	INVAM	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	563		N	
P_occultum_CU126_10A_cut	ZU_Paraglomus_0_occultum	z22	CU126_10A		CU126	P.	occultum	ZU	Paraglomus	occultum	INVAM - DNA extracted from 10 spores	INVAM	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	185		N	
A_fennica_Af2_1A_cut	ZU_Ambispora_0_fennica	z23	Af2_1A		Af2	A.	fennica	ZU	Ambispora	fennica	Claudia Kruger collection in Průhonice - DNA extracted from 1 spore	KRUGER	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	552		N	
S_viscosum_AH179_15_1B_cut	ZU_Septoglomus_0_viscosum	z24	AH179_15_1B		AH179	S.	viscosum	ZU	Septoglomus	viscosum	Claudia Kruger collection in Průhonice - DNA extracted from 1 spore	KRUGER	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	445		N	
S_cerrevisiae_Yeast_cut	ZU_Saccharomyces_0_cerrevisiae	z25	Yeast		Yeast	S.	cerrevisiae	ZU	Saccharomyces	cerevisiae	NA	NA	Pacbio_Sequel_II	zuzana_Lib-6262	No	0	Yeast control	N	
S_calospora_IL209_1A_cut	ZU_Scutellospora_0_calospora	z26	IL209_1A		IL209	S.	calospora	ZU	Scutellospora	calospora	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	116		N	
A_koskei_WV658_1H_cut	ZU_Acaulospora_0_koskei	z27	WV658_1H		WV658	A.	koskei	ZU	Acaulospora	koskei	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	467		N	
D_heterogama_BEG35_1O_cut	ZU_Dentiscutata_0_heterogama	z28	BEG35_1O		BEG35	D.	heterogama	ZU	Dentiscutata	heterogama	BEG (Dijon) DNA extracted from 1 spore	BEG	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	118		N	
C_luteum_SA101_5S_cut	ZU_Entrophospora_0_luteum	z29	SA101_5S		SA101	C.	luteum	ZU	Entrophospora	lutea	INVAM - DNA extracted from 5 spores	INVAM	Pacbio_Sequel_II	zuzana_Lib-6262	Low read count	98		N	
S_viscosum_AH179_15_1A_cut	ZU_Septoglomus_0_viscosum	z3	AH179_15_1A		AH179	S.	viscosum	ZU	Septoglomus	viscosum	Claudia Kruger collection in Průhonice - DNA extracted from 1 spore	KRUGER	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	1509		N	
F_mosseae_BEG161_5B_cut	ZU_Funneliformis_0_mosseae	z30	BEG161_5B		BEG161	F.	mosseae	ZU	Funneliformis	mosseae	BEG (cultured in IBOT Pruhonice) - DNA extracted from 5 spores	BEG	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	45		N	
E_infrequens_Blask3_1F_cut	ZU_Entrophospora_0_infrequens	z31	Blask3_1F		Blaszk3	E.	infrequens	ZU	Entrophospora	infrequens	Janusz Blaszkowski collection - DNA extracted from 1 spore	BLASZ	Pacbio_Sequel_II	zuzana_Lib-6262	Low read count	1		N	
Ac_morrowiae_BR983A_1A_cut	ZU_Acaulospora_0_morrowiae	z32	BR983A_1A		BR983A	Ac	morrowiae	ZU	Acaulospora	morrowiae	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_Sequel_II	zuzana_Lib-6273	Yes	2992		Y	BR983A
Gi_rosea_BR155B_1C_cut	ZU_Gigaspora_0_rosea	z33	BR155B_1C		BR155B	Gi	rosea	ZU	Gigaspora	rosea	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_Sequel_II	zuzana_Lib-6273	Yes	1465		Y	BR155A
Gi_rosea_KS885_1B_cut	ZU_Gigaspora_0_rosea	z34	KS885_1B		KS885	Gi	rosea	ZU	Gigaspora	rosea	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_Sequel_II	zuzana_Lib-6273	Yes	1636		N	
De_heterogama_IL203A_1A_cut	ZU_Dentiscutata_0_heterogama	z35	IL203A_1A		IL203A	De	heterogama	ZU	Dentiscutata	heterogama	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_Sequel_II	zuzana_Lib-6273	Yes	1667		N	
De_heterogama_IL203A_1C_cut	ZU_Dentiscutata_0_heterogama	z36	IL203A_1C		IL203A	De	heterogama	ZU	Dentiscutata	heterogama	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_Sequel_II	zuzana_Lib-6273	Yes	1570		N	
Gi_rosea_KS885_1C_cut	ZU_Gigaspora_0_rosea	z37	KS885_1C		KS885	Gi	rosea	ZU	Gigaspora	rosea	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_Sequel_II	zuzana_Lib-6273	Yes	1056		N	
De_heterogama_BR154_1B_cut	ZU_Dentiscutata_0_heterogama	z38	BR154_1B		BR154	De	heterogama	ZU	Dentiscutata	heterogama	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_Sequel_II	zuzana_Lib-6273	Yes	1270		N	
Ra_gregaria_BEG243_1A_cut	ZU_Racocetra_0_gregaria	z39	BEG243_1A		BEG243	Ra	gregaria	ZU	Racocetra	gregaria	BEG (Dijon) DNA extracted from 1 spore	BEG	Pacbio_Sequel_II	zuzana_Lib-6273	Yes	1505		N	
Racocetra_sp_179_Blask4_10A_cut	ZU_Racocetra_0_sp.	z4	179_Blask4_10A		179_Blask4	Racocetra	sp.	ZU	Racocetra	sp.	Janusz Blaszkowski collection - DNA extracted from 10 spores	BLASZ	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	908		N	
Ra_gregaria_BEG243_1B_cut	ZU_Racocetra_0_gregaria	z40	BEG243_1B		BEG243	Ra	gregaria	ZU	Racocetra	gregaria	BEG (Dijon) DNA extracted from 1 spore	BEG	Pacbio_Sequel_II	zuzana_Lib-6273	Yes	1482		N	
Gi_rosea_BR155B_1B_cut	ZU_Gigaspora_0_rosea	z41	BR155B_1B		BR155B	Gi	rosea	ZU	Gigaspora	rosea	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_Sequel_II	zuzana_Lib-6273	Yes	929		Y	BR155A
Gi_rosea_BR155B_1A_cut	ZU_Gigaspora_0_rosea	z42	BR155B_1A		BR155B	Gi	rosea	ZU	Gigaspora	rosea	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_Sequel_II	zuzana_Lib-6273	Yes	654		Y	BR155A
De_heterogama_BR154_1A_cut	ZU_Dentiscutata_0_heterogama	z43	BR154_1A		BR154	De	heterogama	ZU	Dentiscutata	heterogama	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_Sequel_II	zuzana_Lib-6273	Yes	894		N	
Ac_koskei_WV685_1A_cut	ZU_Acaulospora_0_koskei	z44	WV685_1A		WV685	Ac	koskei	ZU	Acaulospora	koskei	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_Sequel_II	zuzana_Lib-6273	Yes	1393		Y	WV 685
Gi_rosea_KS885_1A_cut	ZU_Gigaspora_0_rosea	z45	KS885_1A		KS885	Gi	rosea	ZU	Gigaspora	rosea	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_Sequel_II	zuzana_Lib-6273	Yes	802		N	
Di_epigaea_KS210_1A_cut	ZU_Diversispora_0_epigaea	z46	KS210_1A		KS210	Di	epigaea	ZU	Diversispora	epigaea	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_Sequel_II	zuzana_Lib-6273	Yes	444		N	
De_heterogama_IL203A_1B_cut	ZU_Dentiscutata_0_heterogama	z47	IL203A_1B		IL203A	De	heterogama	ZU	Dentiscutata	heterogama	INVAM - DNA extracted from 1 spore	INVAM	Pacbio_Sequel_II	zuzana_Lib-6273	Yes	1667		N	
Fu_mosseae_BEG12_1C_cut	ZU_Funneliformis_0_mosseae	z48	BEG12_1C		BEG12	Fu	mosseae	ZU	Funneliformis	mosseae	BEG (Dijon) DNA extracted from 1 spore	BEG	Pacbio_Sequel_II	zuzana_Lib-6273	Yes	327		N	
Ra_gregaria_BEG243_1C_cut	ZU_Racocetra_0_gregaria	z49	BEG243_1C		BEG243	Ra	gregaria	ZU	Racocetra	gregaria	BEG (Dijon) DNA extracted from 1 spore	BEG	Pacbio_Sequel_II	zuzana_Lib-6273	Yes	395		N	
G_rosea_BEG9_1Nb_cut	ZU_Gigaspora_0_rosea	z5	BEG9_1Nb		BEG9	G.	rosea	ZU	Gigaspora	rosea	BEG (cultured in IBOT Pruhonice) - DNA extracted from 1 spore	BEG	Pacbio_Sequel_II	zuzana_Lib-6262	Yes	238		N	
Ac_morrowiae_BR983A_5A_cut	ZU_Acaulospora_0_morrowiae	z50	BR983A_5A		BR983A	Ac	morrowiae	ZU	Acaulospora	morrowiae	INVAM - DNA extracted from 5 spores	INVAM	Pacbio_Sequel_II	zuzana_Lib-6273	Yes	888		Y	BR983A
