"ASV2"	"ASV1"	"species_1"	"cultures_1"	"species_2"	"cultures_2"
"36"	"Funneliformis_monosporus_WY107_ASV_101"	"Funneliformis_mosseae_BEG95_zuzana_ASV_116"	"Funneliformis_mosseae"	"BEG95"	"Funneliformis_monosporus"	"WY107"
"37"	"Funneliformis_monosporus_WY107_ASV_160"	"Funneliformis_mosseae_BEG95_zuzana_ASV_135"	"Funneliformis_mosseae"	"BEG95"	"Funneliformis_monosporus"	"WY107"
"38"	"Funneliformis_monosporus_WY107_ASV_171"	"Funneliformis_mosseae_BEG95_zuzana_ASV_147"	"Funneliformis_mosseae"	"BEG95"	"Funneliformis_monosporus"	"WY107"
"39"	"Funneliformis_mosseae_BEG12_zuzana_ASV_54"	"Funneliformis_mosseae_BEG12_zuzana_RSII_ASV_57"	"Funneliformis_mosseae"	"BEG12"	"Funneliformis_mosseae"	"BEG12"
"40"	"Funneliformis_mosseae_BEG12_zuzana_ASV_61"	"Funneliformis_mosseae_BEG12_zuzana_RSII_ASV_47"	"Funneliformis_mosseae"	"BEG12"	"Funneliformis_mosseae"	"BEG12"
"41"	"Funneliformis_mosseae_BEG12_zuzana_ASV_73"	"Funneliformis_mosseae_BEG12_zuzana_RSII_ASV_58"	"Funneliformis_mosseae"	"BEG12"	"Funneliformis_mosseae"	"BEG12"
"42"	"Funneliformis_mosseae_BEG12_zuzana_ASV_89"	"Funneliformis_mosseae_BEG12_zuzana_RSII_ASV_91"	"Funneliformis_mosseae"	"BEG12"	"Funneliformis_mosseae"	"BEG12"
"43"	"Funneliformis_mosseae_BEG12_zuzana_ASV_90"	"Funneliformis_mosseae_BEG12_zuzana_RSII_ASV_65"	"Funneliformis_mosseae"	"BEG12"	"Funneliformis_mosseae"	"BEG12"
"44"	"Gigaspora_margarita_NC114B_ASV_122"	"Gigaspora_rosea_BEG9_zuzana_ASV_85"	"Gigaspora_rosea"	"BEG9"	"Gigaspora_margarita"	"NC114B"
"45"	"Gigaspora_margarita_NC114B_ASV_161"	"Gigaspora_rosea_BEG9_zuzana_ASV_51"	"Gigaspora_rosea"	"BEG9"	"Gigaspora_margarita"	"NC114B"
"46"	"Gigaspora_margarita_NC114B_ASV_161"	"Gigaspora_rosea_BEG9_zuzana_RSII_ASV_95"	"Gigaspora_rosea"	"BEG9"	"Gigaspora_margarita"	"NC114B"
"47"	"Gigaspora_margarita_NC114B_ASV_35"	"Gigaspora_rosea_BEG9_zuzana_ASV_66"	"Gigaspora_rosea"	"BEG9"	"Gigaspora_margarita"	"NC114B"
"48"	"Gigaspora_margarita_NC114B_ASV_54"	"Gigaspora_rosea_BEG9_zuzana_ASV_106"	"Gigaspora_rosea"	"BEG9"	"Gigaspora_margarita"	"NC114B"
"49"	"Gigaspora_rosea_FL105_11_ASV_185"	"Gigaspora_rosea_KS885_zuzana_RSII_ASV_82"	"Gigaspora_rosea"	"KS885"	"Gigaspora_rosea"	"FL105_11"
"50"	"Racocetra_gregaria_BEG243_zuzana_ASV_22"	"Racocetra_gregaria_BEG243_zuzana_RSII_ASV_42"	"Racocetra_gregaria"	"BEG243"	"Racocetra_gregaria"	"BEG243"
"51"	"Racocetra_gregaria_BEG243_zuzana_ASV_29"	"Racocetra_gregaria_BEG243_zuzana_RSII_ASV_26"	"Racocetra_gregaria"	"BEG243"	"Racocetra_gregaria"	"BEG243"
"52"	"Racocetra_gregaria_BEG243_zuzana_ASV_30"	"Racocetra_gregaria_BEG243_zuzana_RSII_ASV_61"	"Racocetra_gregaria"	"BEG243"	"Racocetra_gregaria"	"BEG243"
"53"	"Racocetra_gregaria_BEG243_zuzana_ASV_41"	"Racocetra_gregaria_BEG243_zuzana_RSII_ASV_83"	"Racocetra_gregaria"	"BEG243"	"Racocetra_gregaria"	"BEG243"
"54"	"Racocetra_gregaria_BEG243_zuzana_ASV_55"	"Racocetra_gregaria_BEG243_zuzana_RSII_ASV_44"	"Racocetra_gregaria"	"BEG243"	"Racocetra_gregaria"	"BEG243"
"55"	"Racocetra_sp_179_Blask4_zuzana_ASV_32"	"Kamienskia_bistrata_Blaszk7_zuzana_RSII_ASV_18"	"Kamienskia_bistrata"	"Blaszk7"	"Racocetra_sp"	"179_Blask4"
"56"	"Saccharomyces_cerevisiae_Yeast_zuzana_ASV_83"	"Saccharomyces_cerrevisiae_Yeast_zuzana_RSII_ASV_97"	"Saccharomyces_cerrevisiae"	"Yeast"	"Saccharomyces_cerevisiae"	"Yeast"
"57"	"Scutellospora_weresubiae_SCT377A_1_ASV_335"	"Entrophospora_etunicatum_BEG247_zuzana_RSII_ASV_23"	"Entrophospora_etunicatum"	"BEG247"	"Scutellospora_weresubiae"	"SCT377A_1"
