asv	sequencing_depth	species	samples	cultures	single_or_multiple_cultures	name
zuzana_RSII_ASV_108	1	Septoglomus_deserticola	z115	NC302A	Single	Septoglomus_deserticola_NC302A_zuzana_RSII_ASV_108
zuzana_RSII_ASV_109	1	Septoglomus_deserticola	z116	NC302A	Single	Septoglomus_deserticola_NC302A_zuzana_RSII_ASV_109
ASV_1	2365	Multiple_species	5|18|38|52|74	6	Single	Multiple_species_6_ASV_1
ASV_2	1351	Multiple_species	7|11|17|18|19|82	MD126|MX982A|JA306A|CA203|FL879N|KS890	Multi	Multiple_species_MD126|MX982A|JA306A|CA203|FL879N|KS890_ASV_2
ASV_3	1339	Multiple_species	42|45|52	10|69_9A	Multi	Multiple_species_10|69_9A_ASV_3
ASV_4	1201	Multiple_species	11|17|18|19|24|37|38|77|82	19|KS890	Multi	Multiple_species_19|KS890_ASV_4
ASV_5	1097	Multiple_species	16|33	VZ103E|NC258	Multi	Multiple_species_VZ103E|NC258_ASV_5
ASV_6	656	Funneliformis_fragilistratum	35	DN988	Single	Funneliformis_fragilistratum_DN988_ASV_6
ASV_7	594	Multiple_species	29|30|31|118	MB24	Single	Multiple_species_MB24_ASV_7
ASV_8	584	Multiple_species	14|16	NB103A|VZ103E	Multi	Multiple_species_NB103A|VZ103E_ASV_8
ASV_9	575	Funneliformis_fragilistratum	35	DN988	Single	Funneliformis_fragilistratum_DN988_ASV_9
ASV_10	456	Dentiscutata_heterogama	44	FL728	Single	Dentiscutata_heterogama_FL728_ASV_10
ASV_11	440	Dentiscutata_heterogama	44	FL728	Single	Dentiscutata_heterogama_FL728_ASV_11
ASV_12	426	Innospora_majewski	39	JA205B	Single	Innospora_majewski_JA205B_ASV_12
ASV_13	420	Rhizophagus_clarus	19	FL879N	Single	Rhizophagus_clarus_FL879N_ASV_13
ASV_14	410	Multiple_species	15|90	MR101|510_4A	Multi	Multiple_species_MR101|510_4A_ASV_14
ASV_15	391	Rhizophagus_clarus	19	FL879N	Single	Rhizophagus_clarus_FL879N_ASV_15
ASV_16	381	Gigaspora_margarita	58	120_7A	Single	Gigaspora_margarita_120_7A_ASV_16
ASV_17	377	Rhizophagus_clarus	19	FL879N	Single	Rhizophagus_clarus_FL879N_ASV_17
ASV_18	357	Paraglomus_brasilianum	77	FL710_19	Single	Paraglomus_brasilianum_FL710_19_ASV_18
